"MovieID"	"Title"	"Genres"	"Year"	"No.Reviews"	"Avg.Rating"
1	"Toy Story (1995)"	"Animation|Children's|Comedy"	1995	2077	4.14684641309581
2	"Jumanji (1995)"	"Adventure|Children's|Fantasy"	1995	701	3.20114122681883
3	"Grumpier Old Men (1995)"	"Comedy|Romance"	1995	478	3.01673640167364
4	"Waiting to Exhale (1995)"	"Comedy|Drama"	1995	170	2.72941176470588
5	"Father of the Bride Part II (1995)"	"Comedy"	1995	296	3.00675675675676
6	"Heat (1995)"	"Action|Crime|Thriller"	1995	940	3.87872340425532
7	"Sabrina (1995)"	"Comedy|Romance"	1995	458	3.41048034934498
8	"Tom and Huck (1995)"	"Adventure|Children's"	1995	68	3.01470588235294
9	"Sudden Death (1995)"	"Action"	1995	102	2.65686274509804
10	"GoldenEye (1995)"	"Action|Adventure|Thriller"	1995	888	3.54054054054054
11	"American President, The (1995)"	"Comedy|Drama|Romance"	1995	1033	3.79380445304937
12	"Dracula: Dead and Loving It (1995)"	"Comedy|Horror"	1995	160	2.3625
13	"Balto (1995)"	"Animation|Children's"	1995	99	3.26262626262626
14	"Nixon (1995)"	"Drama"	1995	153	3.54248366013072
15	"Cutthroat Island (1995)"	"Action|Adventure|Romance"	1995	146	2.45890410958904
16	"Casino (1995)"	"Drama|Thriller"	1995	682	3.79325513196481
17	"Sense and Sensibility (1995)"	"Drama|Romance"	1995	835	4.02754491017964
18	"Four Rooms (1995)"	"Thriller"	1995	157	3.3375796178344
19	"Ace Ventura: When Nature Calls (1995)"	"Comedy"	1995	389	2.48071979434447
20	"Money Train (1995)"	"Action"	1995	160	2.5375
21	"Get Shorty (1995)"	"Action|Comedy|Drama"	1995	1356	3.62389380530973
22	"Copycat (1995)"	"Crime|Drama|Thriller"	1995	378	3.34920634920635
23	"Assassins (1995)"	"Thriller"	1995	126	2.85714285714286
24	"Powder (1995)"	"Drama|Sci-Fi"	1995	624	3.17948717948718
25	"Leaving Las Vegas (1995)"	"Drama|Romance"	1995	980	3.65102040816327
26	"Othello (1995)"	"Drama"	1995	100	3.53
27	"Now and Then (1995)"	"Drama"	1995	61	2.9344262295082
28	"Persuasion (1995)"	"Romance"	1995	179	4.05586592178771
29	"City of Lost Children, The (1995)"	"Adventure|Sci-Fi"	1995	403	4.06203473945409
30	"Shanghai Triad (Yao a yao yao dao waipo qiao) (1995)"	"Drama"	1995	74	3.64864864864865
31	"Dangerous Minds (1995)"	"Drama"	1995	141	3.11347517730496
32	"Twelve Monkeys (1995)"	"Drama|Sci-Fi"	1995	1511	3.94573130377234
33	"Wings of Courage (1995)"	"Adventure|Romance"	1995	4	3
34	"Babe (1995)"	"Children's|Comedy|Drama"	1995	1751	3.89149057681325
35	"Carrington (1995)"	"Drama|Romance"	1995	70	3.31428571428571
36	"Dead Man Walking (1995)"	"Drama"	1995	928	3.95797413793103
37	"Across the Sea of Time (1995)"	"Documentary"	1995	8	3.5
38	"It Takes Two (1995)"	"Comedy"	1995	28	2.82142857142857
39	"Clueless (1995)"	"Comedy|Romance"	1995	1362	3.62334801762115
40	"Cry, the Beloved Country (1995)"	"Drama"	1995	30	3.93333333333333
41	"Richard III (1995)"	"Drama|War"	1995	242	3.95867768595041
42	"Dead Presidents (1995)"	"Action|Crime|Drama"	1995	221	2.86877828054299
43	"Restoration (1995)"	"Drama"	1995	166	3.44578313253012
44	"Mortal Kombat (1995)"	"Action|Adventure"	1995	311	2.78778135048232
45	"To Die For (1995)"	"Comedy|Drama"	1995	544	3.42463235294118
46	"How to Make an American Quilt (1995)"	"Drama|Romance"	1995	166	3.10843373493976
47	"Seven (Se7en) (1995)"	"Crime|Thriller"	1995	1137	4.10642040457344
