"Action.Image"	"Action.Title"	"Action.Rating"	"Adventure.Image"	"Adventure.Title"	"Adventure.Rating"	"Animation.Image"	"Animation.Title"	"Animation.Rating"	"Children's.Image"	"Children's.Title"	"Children's.Rating"	"Comedy.Image"	"Comedy.Title"	"Comedy.Rating"	"Crime.Image"	"Crime.Title"	"Crime.Rating"	"Documentary.Image"	"Documentary.Title"	"Documentary.Rating"	"Drama.Image"	"Drama.Title"	"Drama.Rating"	"Fantasy.Image"	"Fantasy.Title"	"Fantasy.Rating"	"Film-Noir.Image"	"Film-Noir.Title"	"Film-Noir.Rating"	"Horror.Image"	"Horror.Title"	"Horror.Rating"	"Musical.Image"	"Musical.Title"	"Musical.Rating"	"Mystery.Image"	"Mystery.Title"	"Mystery.Rating"	"Romance.Image"	"Romance.Title"	"Romance.Rating"	"Sci-Fi.Image"	"Sci-Fi.Title"	"Sci-Fi.Rating"	"Thriller.Image"	"Thriller.Title"	"Thriller.Rating"	"War.Image"	"War.Title"	"War.Rating"	"Western.Image"	"Western.Title"	"Western.Rating"
"https://liangfgithub.github.io/MovieImages/858.jpg?raw=true"	"Godfather, The (1972)"	4.52	"https://liangfgithub.github.io/MovieImages/1198.jpg?raw=true"	"Raiders of the Lost Ark (1981)"	4.48	"https://liangfgithub.github.io/MovieImages/745.jpg?raw=true"	"Close Shave, A (1995)"	4.52	"https://liangfgithub.github.io/MovieImages/919.jpg?raw=true"	"Wizard of Oz, The (1939)"	4.25	"https://liangfgithub.github.io/MovieImages/1136.jpg?raw=true"	"Monty Python and the Holy Grail (1974)"	4.34	"https://liangfgithub.github.io/MovieImages/858.jpg?raw=true"	"Godfather, The (1972)"	4.52	"https://liangfgithub.github.io/MovieImages/1147.jpg?raw=true"	"When We Were Kings (1996)"	4.32	"https://liangfgithub.github.io/MovieImages/318.jpg?raw=true"	"Shawshank Redemption, The (1994)"	4.55	"https://liangfgithub.github.io/MovieImages/260.jpg?raw=true"	"Star Wars: Episode IV - A New Hope (1977)"	4.45	"https://liangfgithub.github.io/MovieImages/922.jpg?raw=true"	"Sunset Blvd. (a.k.a. Sunset Boulevard) (1950)"	4.49	"https://liangfgithub.github.io/MovieImages/1278.jpg?raw=true"	"Young Frankenstein (1974)"	4.25	"https://liangfgithub.github.io/MovieImages/899.jpg?raw=true"	"Singin' in the Rain (1952)"	4.28	"https://liangfgithub.github.io/MovieImages/904.jpg?raw=true"	"Rear Window (1954)"	4.48	"https://liangfgithub.github.io/MovieImages/912.jpg?raw=true"	"Casablanca (1942)"	4.41	"https://liangfgithub.github.io/MovieImages/260.jpg?raw=true"	"Star Wars: Episode IV - A New Hope (1977)"	4.45	"https://liangfgithub.github.io/MovieImages/50.jpg?raw=true"	"Usual Suspects, The (1995)"	4.52	"https://liangfgithub.github.io/MovieImages/527.jpg?raw=true"	"Schindler's List (1993)"	4.51	"https://liangfgithub.github.io/MovieImages/1304.jpg?raw=true"	"Butch Cassidy and the Sundance Kid (1969)"	4.22
"https://liangfgithub.github.io/MovieImages/1198.jpg?raw=true"	"Raiders of the Lost Ark (1981)"	4.48	"https://liangfgithub.github.io/MovieImages/260.jpg?raw=true"	"Star Wars: Episode IV - A New Hope (1977)"	4.45	"https://liangfgithub.github.io/MovieImages/1148.jpg?raw=true"	"Wrong Trousers, The (1993)"	4.51	"https://liangfgithub.github.io/MovieImages/3114.jpg?raw=true"	"Toy Story 2 (1999)"	4.22	"https://liangfgithub.github.io/MovieImages/2858.jpg?raw=true"	"American Beauty (1999)"	4.32	"https://liangfgithub.github.io/MovieImages/50.jpg?raw=true"	"Usual Suspects, The (1995)"	4.52	"https://liangfgithub.github.io/MovieImages/1189.jpg?raw=true"	"Thin Blue Line, The (1988)"	4.25	"https://liangfgithub.github.io/MovieImages/858.jpg?raw=true"	"Godfather, The (1972)"	4.52	"https://liangfgithub.github.io/MovieImages/1097.jpg?raw=true"	"E.T. the Extra-Terrestrial (1982)"	3.97	"https://liangfgithub.github.io/MovieImages/3435.jpg?raw=true"	"Double Indemnity (1944)"	4.42	"https://liangfgithub.github.io/MovieImages/1219.jpg?raw=true"	"Psycho (1960)"	4.22	"https://liangfgithub.github.io/MovieImages/919.jpg?raw=true"	"Wizard of Oz, The (1939)"	4.25	"https://liangfgithub.github.io/MovieImages/913.jpg?raw=true"	"Maltese Falcon, The (1941)"	4.4	"https://liangfgithub.github.io/MovieImages/1197.jpg?raw=true"	"Princess Bride, The (1987)"	4.3	"https://liangfgithub.github.io/MovieImages/2571.jpg?raw=true"	"Matrix, The (1999)"	4.32	"https://liangfgithub.github.io/MovieImages/2762.jpg?raw=true"	"Sixth Sense, The (1999)"	4.41	"https://liangfgithub.github.io/MovieImages/750.jpg?raw=true"	"Dr. Strangelove or: How I Learned to Stop Worrying and Love the Bomb (1963)"	4.45	"https://liangfgithub.github.io/MovieImages/1283.jpg?raw=true"	"High Noon (1952)"	4.18
"https://liangfgithub.github.io/MovieImages/260.jpg?raw=true"	"Star Wars: Episode IV - A New Hope (1977)"	4.45	"https://liangfgithub.github.io/MovieImages/1197.jpg?raw=true"	"Princess Bride, The (1987)"	4.3	"https://liangfgithub.github.io/MovieImages/3114.jpg?raw=true"	"Toy Story 2 (1999)"	4.22	"https://liangfgithub.github.io/MovieImages/1.jpg?raw=true"	"Toy Story (1995)"	4.15	"https://liangfgithub.github.io/MovieImages/1197.jpg?raw=true"	"Princess Bride, The (1987)"	4.3	"https://liangfgithub.github.io/MovieImages/1221.jpg?raw=true"	"Godfather: Part II, The (1974)"	4.36	"https://liangfgithub.github.io/MovieImages/2859.jpg?raw=true"	"Stop Making Sense (1984)"	4.23	"https://liangfgithub.github.io/MovieImages/527.jpg?raw=true"	"Schindler's List (1993)"	4.51	"https://liangfgithub.github.io/MovieImages/1073.jpg?raw=true"	"Willy Wonka and the Chocolate Factory (1971)"	3.86	"https://liangfgithub.github.io/MovieImages/913.jpg?raw=true"	"Maltese Falcon, The (1941)"	4.4	"https://liangfgithub.github.io/MovieImages/1214.jpg?raw=true"	"Alien (1979)"	4.16	"https://liangfgithub.github.io/MovieImages/1288.jpg?raw=true"	"This Is Spinal Tap (1984)"	4.18	"https://liangfgithub.github.io/MovieImages/1252.jpg?raw=true"	"Chinatown (1974)"	4.34	"https://liangfgithub.github.io/MovieImages/969.jpg?raw=true"	"African Queen, The (1951)"	4.25	"https://liangfgithub.github.io/MovieImages/1196.jpg?raw=true"	"Star Wars: Episode V - The Empire Strikes Back (1980)"	4.29	"https://liangfgithub.github.io/MovieImages/908.jpg?raw=true"	"North by Northwest (1959)"	4.38	"https://liangfgithub.github.io/MovieImages/912.jpg?raw=true"	"Casablanca (1942)"	4.41	"https://liangfgithub.github.io/MovieImages/1201.jpg?raw=true"	"Good, The Bad and The Ugly, The (1966)"	4.13
"https://liangfgithub.github.io/MovieImages/1221.jpg?raw=true"	"Godfather: Part II, The (1974)"	4.36	"https://liangfgithub.github.io/MovieImages/1196.jpg?raw=true"	"Star Wars: Episode V - The Empire Strikes Back (1980)"	4.29	"https://liangfgithub.github.io/MovieImages/1.jpg?raw=true"	"Toy Story (1995)"	4.15	"https://liangfgithub.github.io/MovieImages/2761.jpg?raw=true"	"Iron Giant, The (1999)"	4.05	"https://liangfgithub.github.io/MovieImages/3114.jpg?raw=true"	"Toy Story 2 (1999)"	4.22	"https://liangfgithub.github.io/MovieImages/1234.jpg?raw=true"	"Sting, The (1973)"	4.32	"https://liangfgithub.github.io/MovieImages/556.jpg?raw=true"	"War Room, The (1993)"	4.23	"https://liangfgithub.github.io/MovieImages/912.jpg?raw=true"	"Casablanca (1942)"	4.41	"https://liangfgithub.github.io/MovieImages/2797.jpg?raw=true"	"Big (1988)"	3.86	"https://liangfgithub.github.io/MovieImages/1252.jpg?raw=true"	"Chinatown (1974)"	4.34	"https://liangfgithub.github.io/MovieImages/1258.jpg?raw=true"	"Shining, The (1980)"	4.1	"https://liangfgithub.github.io/MovieImages/914.jpg?raw=true"	"My Fair Lady (1964)"	4.15	"https://liangfgithub.github.io/MovieImages/903.jpg?raw=true"	"Vertigo (1958)"	4.27	"https://liangfgithub.github.io/MovieImages/1247.jpg?raw=true"	"Graduate, The (1967)"	4.25	"https://liangfgithub.github.io/MovieImages/541.jpg?raw=true"	"Blade Runner (1982)"	4.27	"https://liangfgithub.github.io/MovieImages/593.jpg?raw=true"	"Silence of the Lambs, The (1991)"	4.35	"https://liangfgithub.github.io/MovieImages/2028.jpg?raw=true"	"Saving Private Ryan (1998)"	4.34	"https://liangfgithub.github.io/MovieImages/1266.jpg?raw=true"	"Unforgiven (1992)"	4.09
"https://liangfgithub.github.io/MovieImages/2028.jpg?raw=true"	"Saving Private Ryan (1998)"	4.34	"https://liangfgithub.github.io/MovieImages/919.jpg?raw=true"	"Wizard of Oz, The (1939)"	4.25	"https://liangfgithub.github.io/MovieImages/2761.jpg?raw=true"	"Iron Giant, The (1999)"	4.05	"https://liangfgithub.github.io/MovieImages/1097.jpg?raw=true"	"E.T. the Extra-Terrestrial (1982)"	3.97	"https://liangfgithub.github.io/MovieImages/1.jpg?raw=true"	"Toy Story (1995)"	4.15	"https://liangfgithub.github.io/MovieImages/296.jpg?raw=true"	"Pulp Fiction (1994)"	4.28	"https://liangfgithub.github.io/MovieImages/1361.jpg?raw=true"	"Paradise Lost: The Child Murders at Robin Hood Hills (1996)"	4.21	"https://liangfgithub.github.io/MovieImages/1193.jpg?raw=true"	"One Flew Over the Cuckoo's Nest (1975)"	4.39	"https://liangfgithub.github.io/MovieImages/2872.jpg?raw=true"	"Excalibur (1981)"	3.81	"https://liangfgithub.github.io/MovieImages/1267.jpg?raw=true"	"Manchurian Candidate, The (1962)"	4.33	"https://liangfgithub.github.io/MovieImages/1387.jpg?raw=true"	"Jaws (1975)"	4.09	"https://liangfgithub.github.io/MovieImages/2300.jpg?raw=true"	"Producers, The (1968)"	4.14	"https://liangfgithub.github.io/MovieImages/1617.jpg?raw=true"	"L.A. Confidential (1997)"	4.22	"https://liangfgithub.github.io/MovieImages/2692.jpg?raw=true"	"Run Lola Run (Lola rennt) (1998)"	4.22	"https://liangfgithub.github.io/MovieImages/1214.jpg?raw=true"	"Alien (1979)"	4.16	"https://liangfgithub.github.io/MovieImages/2571.jpg?raw=true"	"Matrix, The (1999)"	4.32	"https://liangfgithub.github.io/MovieImages/1233.jpg?raw=true"	"Boat, The (Das Boot) (1981)"	4.3	"https://liangfgithub.github.io/MovieImages/3671.jpg?raw=true"	"Blazing Saddles (1974)"	4.05
"https://liangfgithub.github.io/MovieImages/2571.jpg?raw=true"	"Matrix, The (1999)"	4.32	"https://liangfgithub.github.io/MovieImages/1291.jpg?raw=true"	"Indiana Jones and the Last Crusade (1989)"	4.13	"https://liangfgithub.github.io/MovieImages/1282.jpg?raw=true"	"Fantasia (1940)"	3.9	"https://liangfgithub.github.io/MovieImages/1282.jpg?raw=true"	"Fantasia (1940)"	3.9	"https://liangfgithub.github.io/MovieImages/2396.jpg?raw=true"	"Shakespeare in Love (1998)"	4.13	"https://liangfgithub.github.io/MovieImages/1213.jpg?raw=true"	"GoodFellas (1990)"	4.28	"https://liangfgithub.github.io/MovieImages/246.jpg?raw=true"	"Hoop Dreams (1994)"	4.19	"https://liangfgithub.github.io/MovieImages/1221.jpg?raw=true"	"Godfather: Part II, The (1974)"	4.36	"https://liangfgithub.github.io/MovieImages/1019.jpg?raw=true"	"20,000 Leagues Under the Sea (1954)"	3.7	"https://liangfgithub.github.io/MovieImages/1284.jpg?raw=true"	"Big Sleep, The (1946)"	4.31	"https://liangfgithub.github.io/MovieImages/1997.jpg?raw=true"	"Exorcist, The (1973)"	3.96	"https://liangfgithub.github.io/MovieImages/1947.jpg?raw=true"	"West Side Story (1961)"	4.06	"https://liangfgithub.github.io/MovieImages/1269.jpg?raw=true"	"Arsenic and Old Lace (1944)"	4.17	"https://liangfgithub.github.io/MovieImages/1230.jpg?raw=true"	"Annie Hall (1977)"	4.14	"https://liangfgithub.github.io/MovieImages/1240.jpg?raw=true"	"Terminator, The (1984)"	4.15	"https://liangfgithub.github.io/MovieImages/608.jpg?raw=true"	"Fargo (1996)"	4.25	"https://liangfgithub.github.io/MovieImages/1196.jpg?raw=true"	"Star Wars: Episode V - The Empire Strikes Back (1980)"	4.29	"https://liangfgithub.github.io/MovieImages/3037.jpg?raw=true"	"Little Big Man (1970)"	4.04
"https://liangfgithub.github.io/MovieImages/1197.jpg?raw=true"	"Princess Bride, The (1987)"	4.3	"https://liangfgithub.github.io/MovieImages/1259.jpg?raw=true"	"Stand by Me (1986)"	4.1	"https://liangfgithub.github.io/MovieImages/595.jpg?raw=true"	"Beauty and the Beast (1991)"	3.89	"https://liangfgithub.github.io/MovieImages/1028.jpg?raw=true"	"Mary Poppins (1964)"	3.89	"https://liangfgithub.github.io/MovieImages/2997.jpg?raw=true"	"Being John Malkovich (1999)"	4.13	"https://liangfgithub.github.io/MovieImages/608.jpg?raw=true"	"Fargo (1996)"	4.25	"https://liangfgithub.github.io/MovieImages/2064.jpg?raw=true"	"Roger & Me (1989)"	4.07	"https://liangfgithub.github.io/MovieImages/593.jpg?raw=true"	"Silence of the Lambs, The (1991)"	4.35	"https://liangfgithub.github.io/MovieImages/2968.jpg?raw=true"	"Time Bandits (1981)"	3.69	"https://liangfgithub.github.io/MovieImages/2186.jpg?raw=true"	"Strangers on a Train (1951)"	4.3	"https://liangfgithub.github.io/MovieImages/2716.jpg?raw=true"	"Ghostbusters (1984)"	3.91	"https://liangfgithub.github.io/MovieImages/1220.jpg?raw=true"	"Blues Brothers, The (1980)"	3.94	"https://liangfgithub.github.io/MovieImages/800.jpg?raw=true"	"Lone Star (1996)"	4.08	"https://liangfgithub.github.io/MovieImages/2396.jpg?raw=true"	"Shakespeare in Love (1998)"	4.13	"https://liangfgithub.github.io/MovieImages/1200.jpg?raw=true"	"Aliens (1986)"	4.13	"https://liangfgithub.github.io/MovieImages/1617.jpg?raw=true"	"L.A. Confidential (1997)"	4.22	"https://liangfgithub.github.io/MovieImages/969.jpg?raw=true"	"African Queen, The (1951)"	4.25	"https://liangfgithub.github.io/MovieImages/3508.jpg?raw=true"	"Outlaw Josey Wales, The (1976)"	4.04
"https://liangfgithub.github.io/MovieImages/1196.jpg?raw=true"	"Star Wars: Episode V - The Empire Strikes Back (1980)"	4.29	"https://liangfgithub.github.io/MovieImages/1210.jpg?raw=true"	"Star Wars: Episode VI - Return of the Jedi (1983)"	4.02	"https://liangfgithub.github.io/MovieImages/3751.jpg?raw=true"	"Chicken Run (2000)"	3.88	"https://liangfgithub.github.io/MovieImages/34.jpg?raw=true"	"Babe (1995)"	3.89	"https://liangfgithub.github.io/MovieImages/2918.jpg?raw=true"	"Ferris Bueller's Day Off (1986)"	4.12	"https://liangfgithub.github.io/MovieImages/2692.jpg?raw=true"	"Run Lola Run (Lola rennt) (1998)"	4.22	"https://liangfgithub.github.io/MovieImages/162.jpg?raw=true"	"Crumb (1994)"	4.06	"https://liangfgithub.github.io/MovieImages/2028.jpg?raw=true"	"Saving Private Ryan (1998)"	4.34	"https://liangfgithub.github.io/MovieImages/2087.jpg?raw=true"	"Peter Pan (1953)"	3.66	"https://liangfgithub.github.io/MovieImages/1260.jpg?raw=true"	"M (1931)"	4.3	"https://liangfgithub.github.io/MovieImages/3499.jpg?raw=true"	"Misery (1990)"	3.83	"https://liangfgithub.github.io/MovieImages/1035.jpg?raw=true"	"Sound of Music, The (1965)"	3.93	"https://liangfgithub.github.io/MovieImages/924.jpg?raw=true"	"2001: A Space Odyssey (1968)"	4.07	"https://liangfgithub.github.io/MovieImages/356.jpg?raw=true"	"Forrest Gump (1994)"	4.09	"https://liangfgithub.github.io/MovieImages/924.jpg?raw=true"	"2001: A Space Odyssey (1968)"	4.07	"https://liangfgithub.github.io/MovieImages/1219.jpg?raw=true"	"Psycho (1960)"	4.22	"https://liangfgithub.github.io/MovieImages/1208.jpg?raw=true"	"Apocalypse Now (1979)"	4.24	"https://liangfgithub.github.io/MovieImages/2951.jpg?raw=true"	"Fistful of Dollars, A (1964)"	3.99
"https://liangfgithub.github.io/MovieImages/110.jpg?raw=true"	"Braveheart (1995)"	4.23	"https://liangfgithub.github.io/MovieImages/590.jpg?raw=true"	"Dances with Wolves (1990)"	3.92	"https://liangfgithub.github.io/MovieImages/364.jpg?raw=true"	"Lion King, The (1994)"	3.86	"https://liangfgithub.github.io/MovieImages/595.jpg?raw=true"	"Beauty and the Beast (1991)"	3.89	"https://liangfgithub.github.io/MovieImages/1259.jpg?raw=true"	"Stand by Me (1986)"	4.1	"https://liangfgithub.github.io/MovieImages/1617.jpg?raw=true"	"L.A. Confidential (1997)"	4.22	"https://liangfgithub.github.io/MovieImages/2677.jpg?raw=true"	"Buena Vista Social Club (1999)"	4.06	"https://liangfgithub.github.io/MovieImages/2858.jpg?raw=true"	"American Beauty (1999)"	4.32	"https://liangfgithub.github.io/MovieImages/2140.jpg?raw=true"	"Dark Crystal, The (1982)"	3.65	"https://liangfgithub.github.io/MovieImages/930.jpg?raw=true"	"Notorious (1946)"	4.29	"https://liangfgithub.github.io/MovieImages/1215.jpg?raw=true"	"Army of Darkness (1993)"	3.8	"https://liangfgithub.github.io/MovieImages/1282.jpg?raw=true"	"Fantasia (1940)"	3.9	"https://liangfgithub.github.io/MovieImages/2686.jpg?raw=true"	"Red Violin, The (Le Violon rouge) (1998)"	3.96	"https://liangfgithub.github.io/MovieImages/1307.jpg?raw=true"	"When Harry Met Sally... (1989)"	4.07	"https://liangfgithub.github.io/MovieImages/589.jpg?raw=true"	"Terminator 2: Judgment Day (1991)"	4.06	"https://liangfgithub.github.io/MovieImages/1214.jpg?raw=true"	"Alien (1979)"	4.16	"https://liangfgithub.github.io/MovieImages/110.jpg?raw=true"	"Braveheart (1995)"	4.23	"https://liangfgithub.github.io/MovieImages/3681.jpg?raw=true"	"For a Few Dollars More (1965)"	3.92
"https://liangfgithub.github.io/MovieImages/1214.jpg?raw=true"	"Alien (1979)"	4.16	"https://liangfgithub.github.io/MovieImages/1374.jpg?raw=true"	"Star Trek: The Wrath of Khan (1982)"	3.88	"https://liangfgithub.github.io/MovieImages/2355.jpg?raw=true"	"Bug's Life, A (1998)"	3.85	"https://liangfgithub.github.io/MovieImages/3751.jpg?raw=true"	"Chicken Run (2000)"	3.88	"https://liangfgithub.github.io/MovieImages/356.jpg?raw=true"	"Forrest Gump (1994)"	4.09	"https://liangfgithub.github.io/MovieImages/1089.jpg?raw=true"	"Reservoir Dogs (1992)"	4.14	"https://liangfgithub.github.io/MovieImages/581.jpg?raw=true"	"Celluloid Closet, The (1995)"	4.05	"https://liangfgithub.github.io/MovieImages/1196.jpg?raw=true"	"Star Wars: Episode V - The Empire Strikes Back (1980)"	4.29	"https://liangfgithub.github.io/MovieImages/2161.jpg?raw=true"	"NeverEnding Story, The (1984)"	3.61	"https://liangfgithub.github.io/MovieImages/541.jpg?raw=true"	"Blade Runner (1982)"	4.27	"https://liangfgithub.github.io/MovieImages/1994.jpg?raw=true"	"Poltergeist (1982)"	3.68	"https://liangfgithub.github.io/MovieImages/1028.jpg?raw=true"	"Mary Poppins (1964)"	3.89	"https://liangfgithub.github.io/MovieImages/1625.jpg?raw=true"	"Game, The (1997)"	3.91	"https://liangfgithub.github.io/MovieImages/1210.jpg?raw=true"	"Star Wars: Episode VI - Return of the Jedi (1983)"	4.02	"https://liangfgithub.github.io/MovieImages/1210.jpg?raw=true"	"Star Wars: Episode VI - Return of the Jedi (1983)"	4.02	"https://liangfgithub.github.io/MovieImages/1240.jpg?raw=true"	"Terminator, The (1984)"	4.15	"https://liangfgithub.github.io/MovieImages/1242.jpg?raw=true"	"Glory (1989)"	4.19	"https://liangfgithub.github.io/MovieImages/590.jpg?raw=true"	"Dances with Wolves (1990)"	3.92
